n,trial,timeMs,weightedLength,codesCount,prefixFree
10000,1,13,65425631,10000,true
10000,2,6,64970090,10000,true
10000,3,6,65181255,10000,true
10000,4,4,64931076,10000,true
10000,5,3,65015791,10000,true
50000,1,20,384770917,50000,true
50000,2,27,384862476,50000,true
50000,3,29,382594166,50000,true
50000,4,18,385365776,50000,true
50000,5,37,382085620,50000,true
100000,1,41,820312532,100000,true
100000,2,54,821059327,100000,true
100000,3,55,814325189,100000,true
100000,4,58,818437305,100000,true
100000,5,40,816253708,100000,true
300000,1,166,2694059990,300000,true
300000,2,168,2693580588,300000,true
300000,3,198,2697070690,300000,true
300000,4,165,2696232098,300000,true
300000,5,174,2693989369,300000,true
500000,1,380,4673199589,500000,true
500000,2,354,4679388178,500000,true
500000,3,337,4676625104,500000,true
500000,4,288,4677870648,500000,true
500000,5,409,4670596589,500000,true
1000000,1,824,9850483898,1000000,true
1000000,2,941,9850509209,1000000,true
1000000,3,1398,9855596796,1000000,true
1000000,4,1287,9854390665,1000000,true
1000000,5,1154,9852025496,1000000,true
